ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _wc_average_rating,Meta: _wc_review_count,Meta: _wo_test_batch,Meta: _virtual,Meta: _downloadable
1001,simple,WO-BOTTLED-MORNING,0850001000017,Bauhaus Notebook,1,1,visible,"Yellow grid-cover notebook for sketches, counts, and margin notes.","A hard-cover studio notebook with ruled cream pages, black cloth spine, and a yellow plane on the front board.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,4,5,no,0,0.25,8,8,15,1,Packed flat by Bauhaus Press. Keep dry; keep square.,14.0,18.0,"Shop > Moods & Feelings, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,"https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-bottled-morning.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-silence-jar.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-discount-gravity.jpg",,,,,"WO-DREAD-REPELLENT, WO-SILENCE-JAR",WO-FORBIDDEN-HONEY,,,0,Brand,Bauhaus Press,1,1,,Origin,Near Cleveland,1,0,,Warning,Contains actual regret,1,0,,,,,,Bauhaus Notebook | Bauhaus Press,"Bauhaus Notebook: Yellow grid-cover notebook for sketches, counts, and margin notes.",bauhaus notebook,4.6,47,2026-04-16-a,no,no
1002,simple,WO-SILENCE-JAR,0850001000024,Grid Postcard Set,1,1,visible,A boxed stack of ruled postcards for announcements and tiny diagrams.,Twenty-four cream postcards printed with black registration lines and primary-color accents.,,,taxable,,1,23,5,no,0,0.4,10,10,12,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,32.0,"Shop > Curiosities, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",standard,"https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-silence-jar.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-discount-gravity.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-moon-dust.jpg",,,,,WO-BOTTLED-MORNING,WO-HAUNTED-CANDLE,,,1,Brand,Bauhaus Press,1,1,,Material,Borosilicate glass + nothing,1,0,,Volume,8 fl oz,1,0,,,,,,Grid Postcard Set | Bauhaus Press,Grid Postcard Set: A boxed stack of ruled postcards for announcements and tiny diagrams.,grid postcard set,4.9,112,2026-04-16-a,no,no
1003,simple,WO-DISCOUNT-GRAVITY,0850001000031,Red Circle Stamp,1,0,visible,"A round desk stamp for invoices, parcels, and decisive little approvals.","Rubber stamp with a lacquered red face, black handle, and a clean circular impression.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,0,5,notify,0,9999.0,5,5,5,1,Packed flat by Bauhaus Press. Keep dry; keep square.,7.99,9.99,"Shop > Impossibilities, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-discount-gravity.jpg,,,,,"WO-MOON-DUST, WO-POCKET-THUNDER",WO-INVISIBLE-UMBRELLA,,,2,Brand,Bauhaus Press,1,1,,Condition,Mostly functional,1,0,,Downward Force,~94% nominal,1,0,,,,,,Red Circle Stamp | Bauhaus Press,"Red Circle Stamp: A round desk stamp for invoices, parcels, and decisive little approvals.",red circle stamp,3.8,201,2026-04-16-a,no,no
1004,simple,WO-MOON-DUST,0850001000048,Typography Notepad,1,0,visible,Tear-off notepad with heavy rules and a heading field for daily notices.,"A block of cream sheets printed like a small press proof, ready for lists, receipts, and workshop notes.",,,taxable,,1,11,3,no,0,0.02,6,6,3,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,88.0,Shop > Curiosities,"stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-moon-dust.jpg,,,,,WO-COSMIC-MYSTERY-BOX,WO-WHISPERING-STONE,,,3,Brand,Bauhaus Press,1,1,,Certification,Notarized by Carl,1,0,,Net Weight,5g,1,0,,,,,,Typography Notepad | Bauhaus Press,Typography Notepad: Tear-off notepad with heavy rules and a heading field for daily notices.,typography notepad,4.2,18,2026-04-16-a,no,no
1005,simple,WO-DREAD-REPELLENT,0850001000055,Modernist Pencil Set,1,1,visible,"Six lacquered pencils in red, yellow, blue, black, and cream.",Sharpened pencils packed in a flat sleeve with a small geometry guide printed inside.,2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,64,10,no,0,0.15,4,4,14,1,Packed flat by Bauhaus Press. Keep dry; keep square.,19.0,24.0,Shop > Moods & Feelings,"stationery, bauhaus, primary-colors, studio",standard,"https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-dread-repellent.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-tangible-wifi.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-forbidden-honey.jpg",,,,,"WO-BOTTLED-MORNING, WO-BORROWED-NOSTALGIA","WO-SILENCE-JAR, WO-HANDCRAFTED-ECHO",,,4,Brand,Bauhaus Press,1,1,,Scent,Lavender + Denial,1,0,,Volume,50ml,1,0,,,,,,Modernist Pencil Set | Bauhaus Press,"Modernist Pencil Set: Six lacquered pencils in red, yellow, blue, black, and cream.",modernist pencil set,4.5,89,2026-04-16-a,no,no
1006,simple,WO-TANGIBLE-WIFI,0850001000062,Form Function Notebook,1,0,visible,"Blue, yellow, and red cover blocks over a black grid spine.","A sturdy notebook for shop drawings, page plans, and stubborn ideas that need boxes around them.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,7,10,no,0,0.35,7,7,7,1,Packed flat by Bauhaus Press. Keep dry; keep square.,129.0,149.0,"Shop > Impossibilities, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-tangible-wifi.jpg,,,,,WO-POCKET-THUNDER,WO-WHISPERING-STONE,,,5,Brand,Bauhaus Press,1,1,,Frequency,2.4 / 5 GHz,1,0,,Warranty,7 days (non-negotiable),1,0,,,,,,Form Function Notebook | Bauhaus Press,"Form Function Notebook: Blue, yellow, and red cover blocks over a black grid spine.",form function notebook,4.1,33,2026-04-16-a,no,no
1007,simple,WO-FORBIDDEN-HONEY,0850001000079,Envelope Pack,1,0,visible,Primary-color correspondence envelopes with a black-edge closure flap.,"Twelve envelopes and matching flat cards for announcements, invoices, and good news by post.",,,taxable,,1,30,5,no,0,0.6,9,9,13,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,42.0,"Shop > Forbidden Snacks, Shop > Curiosities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-forbidden-honey.jpg,,,,,WO-CHAOS-SEASONING,WO-BOTTLED-MORNING,,,6,Brand,Bauhaus Press,1,1,,Volume,340g,1,0,,Allergens,Mystery,1,0,,,,,,Envelope Pack | Bauhaus Press,Envelope Pack: Primary-color correspondence envelopes with a black-edge closure flap.,envelope pack,4.8,276,2026-04-16-a,no,no
1008,simple,WO-SPARE-TUESDAY,0850001000086,Geometric Card Set,1,1,visible,"Folded cards with circles, squares, triangles, and sharp black registration lines.",A set of eight folded stationery cards inspired by classroom exercises and press-room proofs.,,,taxable,,1,2,5,no,0,0.0,1,1,1,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,199.0,Shop > Impossibilities,"stationery, bauhaus, primary-colors, studio",standard,"https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-spare-tuesday.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-pocket-thunder.jpg, https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-fog-in-bottle.jpg",,,,,"WO-BORROWED-NOSTALGIA, WO-LOST-RECIPE-TIME",WO-MEMORY-FOAM-MEMORY,,,7,Brand,Bauhaus Press,1,1,,Duration,24h ±,1,0,,Day Type,Tuesday,1,0,,,,,,Geometric Card Set | Bauhaus Press,"Geometric Card Set: Folded cards with circles, squares, triangles, and sharp black registration lines.",geometric card set,5.0,4,2026-04-16-a,no,no
1009,simple,WO-POCKET-THUNDER,0850001000093,Dessau Desk Stamp,1,0,visible,Black-handled desk stamp for serious paperwork and playful stationery.,"A compact stamp with a square base, soft rubber face, and enough weight to feel official.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,0,0,3,no,0,0.1,8,5,3,1,Packed flat by Bauhaus Press. Keep dry; keep square.,28.0,35.0,"Shop > Curiosities, Shop > Impossibilities","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-pocket-thunder.jpg,,,,,WO-DISCOUNT-GRAVITY,WO-FOG-IN-BOTTLE,,,8,Brand,Bauhaus Press,1,1,,Sound Level,85-102 dB,1,0,,Deployments,1 (single-use),1,0,,,,,,Dessau Desk Stamp | Bauhaus Press,Dessau Desk Stamp: Black-handled desk stamp for serious paperwork and playful stationery.,dessau desk stamp,4.3,58,2026-04-16-a,no,no
1010,simple,WO-FOG-IN-BOTTLE,0850001000109,Kandinsky Journal,1,0,visible,"Blank-page journal with layered blue, red, and yellow abstract forms.","A stitched journal for diagrams, manifestos, and notes that arrive before the sentence does.",,,taxable,,1,41,8,no,0,0.3,7,7,18,1,Packed flat by Bauhaus Press. Keep dry; keep square.,,22.0,"Shop > Curiosities, Shop > Moods & Feelings","stationery, bauhaus, primary-colors, studio",standard,https://raw.githubusercontent.com/RegionallyFamous/fifty/main/bauhaus/playground/images/product-wo-fog-in-bottle.jpg,,,,,WO-POCKET-THUNDER,WO-HAUNTED-CANDLE,,,9,Brand,Bauhaus Press,1,1,,Coverage,~2m³,1,0,,Source,"Penobscot Bay, approx.",1,0,,,,,,Kandinsky Journal | Bauhaus Press,"Kandinsky Journal: Blank-page journal with layered blue, red, and yellow abstract forms.",kandinsky journal,4.4,26,2026-04-16-a,no,no
